DATE,WALCL
2003-01-01,724718.400000000000
2003-02-01,721326.000000000000
2003-03-01,723651.250000000000
2003-04-01,736926.400000000000
2003-05-01,738358.000000000000
2003-06-01,738711.750000000000
2003-07-01,741656.200000000000
2003-08-01,740216.500000000000
2003-09-01,743206.750000000000
2003-10-01,747068.400000000000
2003-11-01,747801.250000000000
2003-12-01,759809.600000000000
2004-01-01,759938.250000000000
2004-02-01,753644.250000000000
2004-03-01,755538.000000000000
2004-04-01,762182.000000000000
2004-05-01,762913.750000000000
2004-06-01,770590.000000000000
2004-07-01,776094.750000000000
2004-08-01,771095.500000000000
2004-09-01,786291.400000000000
2004-10-01,788387.500000000000
2004-11-01,798767.750000000000
2004-12-01,808972.600000000000
2005-01-01,807094.750000000000
2005-02-01,800556.750000000000
2005-03-01,802471.600000000000
2005-04-01,803656.000000000000
2005-05-01,805624.000000000000
2005-06-01,812643.200000000000
2005-07-01,815370.000000000000
2005-08-01,815141.800000000000
2005-09-01,820696.750000000000
2005-10-01,819207.250000000000
2005-11-01,826201.600000000000
2005-12-01,840054.250000000000
2006-01-01,836539.000000000000
2006-02-01,833804.000000000000
2006-03-01,838655.600000000000
2006-04-01,838093.750000000000
2006-05-01,842451.200000000000
2006-06-01,846038.000000000000
2006-07-01,846874.000000000000
2006-08-01,844411.400000000000
2006-09-01,844410.750000000000
2006-10-01,849620.750000000000
2006-11-01,858302.800000000000
2006-12-01,862756.750000000000
2007-01-01,861258.600000000000
2007-02-01,867225.000000000000
2007-03-01,868370.750000000000
2007-04-01,867195.250000000000
2007-05-01,875321.400000000000
2007-06-01,867222.250000000000
2007-07-01,870706.000000000000
2007-08-01,867258.600000000000
2007-09-01,878775.500000000000
2007-10-01,877940.600000000000
2007-11-01,886426.500000000000
2007-12-01,885789.750000000000
2008-01-01,894807.800000000000
2008-02-01,881700.250000000000
2008-03-01,890096.000000000000
2008-04-01,886510.600000000000
2008-05-01,892986.000000000000
2008-06-01,895391.500000000000
2008-07-01,905993.400000000000
2008-08-01,906233.750000000000
2008-09-01,1009474.000000000000
2008-10-01,1727614.600000000000
2008-11-01,2145077.750000000000
2008-12-01,2222737.400000000000
2009-01-01,2033836.750000000000
2009-02-01,1881628.500000000000
2009-03-01,1984832.250000000000
2009-04-01,2123506.200000000000
2009-05-01,2134464.000000000000
2009-06-01,2057022.500000000000
2009-07-01,2022073.200000000000
2009-08-01,2034911.250000000000
2009-09-01,2122220.000000000000
2009-10-01,2173382.250000000000
2009-11-01,2178795.500000000000
2009-12-01,2219218.000000000000
2010-01-01,2256424.000000000000
2010-02-01,2267424.750000000000
2010-03-01,2298183.400000000000
2010-04-01,2328737.000000000000
2010-05-01,2336799.500000000000
2010-06-01,2337481.800000000000
2010-07-01,2332588.500000000000
2010-08-01,2317172.250000000000
2010-09-01,2301947.800000000000
2010-10-01,2304649.000000000000
2010-11-01,2318469.750000000000
2010-12-01,2392691.800000000000
2011-01-01,2443221.500000000000
2011-02-01,2502997.250000000000
2011-03-01,2585821.000000000000
2011-04-01,2672712.750000000000
2011-05-01,2749065.000000000000
2011-06-01,2829826.400000000000
2011-07-01,2870763.500000000000
2011-08-01,2862173.000000000000
2011-09-01,2857717.000000000000
2011-10-01,2854649.500000000000
2011-11-01,2825922.200000000000
2011-12-01,2891339.750000000000
2012-01-01,2913951.500000000000
2012-02-01,2929930.000000000000
2012-03-01,2887272.500000000000
2012-04-01,2868677.250000000000
2012-05-01,2856312.600000000000
2012-06-01,2863870.500000000000
2012-07-01,2858675.250000000000
2012-08-01,2835816.600000000000
2012-09-01,2817912.000000000000
2012-10-01,2826231.200000000000
2012-11-01,2857639.500000000000
2012-12-01,2901149.500000000000
2013-01-01,2966026.000000000000
2013-02-01,3068737.500000000000
2013-03-01,3170836.250000000000
2013-04-01,3264238.000000000000
2013-05-01,3355983.800000000000
2013-06-01,3440056.750000000000
2013-07-01,3536213.800000000000
2013-08-01,3630451.500000000000
2013-09-01,3693106.750000000000
2013-10-01,3800415.600000000000
2013-11-01,3897885.750000000000
2013-12-01,3991804.500000000000
2014-01-01,4064681.000000000000
2014-02-01,4134488.750000000000
2014-03-01,4200543.750000000000
2014-04-01,4271396.800000000000
2014-05-01,4322501.500000000000
2014-06-01,4352084.250000000000
2014-07-01,4395203.200000000000
2014-08-01,4417173.500000000000
2014-09-01,4436408.250000000000
2014-10-01,4469678.600000000000
2014-11-01,4488542.500000000000
2014-12-01,4496884.800000000000
2015-01-01,4507150.250000000000
2015-02-01,4496402.250000000000
2015-03-01,4488338.250000000000
2015-04-01,4482355.600000000000
2015-05-01,4479564.000000000000
2015-06-01,4479059.250000000000
2015-07-01,4488001.400000000000
2015-08-01,4484473.000000000000
2015-09-01,4484700.600000000000
2015-10-01,4495400.000000000000
2015-11-01,4486380.750000000000
2015-12-01,4486241.600000000000
2016-01-01,4489872.500000000000
2016-02-01,4485799.500000000000
2016-03-01,4484319.600000000000
2016-04-01,4487148.500000000000
2016-05-01,4472633.250000000000
2016-06-01,4469248.600000000000
2016-07-01,4472069.500000000000
2016-08-01,4466789.000000000000
2016-09-01,4466515.750000000000
2016-10-01,4459703.250000000000
2016-11-01,4454779.200000000000
2016-12-01,4460032.750000000000
2017-01-01,4454801.500000000000
2017-02-01,4458373.750000000000
2017-03-01,4467057.800000000000
2017-04-01,4477134.500000000000
2017-05-01,4468515.800000000000
2017-06-01,4469079.000000000000
2017-07-01,4469040.250000000000
2017-08-01,4462999.400000000000
2017-09-01,4459721.250000000000
2017-10-01,4462669.250000000000
2017-11-01,4450387.000000000000
2017-12-01,4446506.000000000000
2018-01-01,4437893.400000000000
2018-02-01,4415167.250000000000
2018-03-01,4399193.750000000000
2018-04-01,4382144.250000000000
2018-05-01,4343353.000000000000
2018-06-01,4316371.000000000000
2018-07-01,4287565.250000000000
2018-08-01,4238067.800000000000
2018-09-01,4205069.000000000000
2018-10-01,4167971.400000000000
2018-11-01,4122799.000000000000
2018-12-01,4083567.000000000000
2019-01-01,4050343.000000000000
2019-02-01,4002697.750000000000
2019-03-01,3964764.500000000000
2019-04-01,3933098.250000000000
2019-05-01,3871707.000000000000
2019-06-01,3842108.250000000000
2019-07-01,3803776.800000000000
2019-08-01,3773093.250000000000
2019-09-01,3808397.750000000000
2019-10-01,3970156.000000000000
2019-11-01,4042612.250000000000
2019-12-01,4115957.500000000000
2020-01-01,4159312.400000000000
2020-02-01,4169900.750000000000
2020-03-01,4618977.000000000000
2020-04-01,6298340.000000000000
2020-05-01,6947555.250000000000
2020-06-01,7127786.250000000000
2020-07-01,6960429.400000000000
2020-08-01,6975892.250000000000
2020-09-01,7048374.200000000000
2020-10-01,.
