date,r3m,r6m,r1y,r3y,r5y,r10y,r15y,total,in_year,out_year,short_term,medium_term,long_term
2005_1,8.6199999,8.4700003,8.3800001,8.25,7.98,7.23,6.9499998,2.4099262,1.7344198,1.7497334,1.7344198,1.4559247,1.0696026
2005_2,7.4200001,7.25,7.1399999,7,6.9000001,6.6199999,6.5599999,1.4901879,1.1985863,1.0017309,1.1985863,.89477128,.56317687
2005_3,7.3200002,7.27,7.2199998,7.2199998,7.1599998,6.7800002,6.6700001,1.6027493,1.1808231,1.1463143,1.1808231,.96322221,.69341832
2005_4,7.46,7.46,7.46,7.54,7.4400001,7.0599999,6.8800001,1.8378811,1.2538717,1.3785957,1.2538717,1.0898973,.88973254
2005_5,7.23,7.27,7.2800002,7.3699999,7.2399998,7,6.8699999,1.7055197,1.1608579,1.2811645,1.1608579,1.0110894,.82867789
2005_6,6.4899998,6.5,6.4499998,6.4000001,6.3600001,6.25,6.21,.9285813,.82652271,.57273811,.82652271,.60463083,.24620955
2005_7,6.29,6.2800002,6.27,6.1900001,6.1300001,6.02,5.9499998,.70962608,.73353374,.37191835,.73353374,.51656681,.058704201
2005_8,5.7600002,5.75,5.73,5.5999999,5.5599999,5.52,5.5,.19442216,.49882621,-.089739554,.49882621,.26163098,-.32909754
2005_9,6,5.98,5.9699998,6.1700001,6.1799998,6.1799998,6.1399999,.67315942,.60289872,.41273013,.60289872,.44615743,.16871379
2005_10,6.1999998,6.3000002,6.4299998,6.7199998,6.75,6.73,6.5900002,1.1186899,.71798873,.86779976,.71798873,.67429525,.56979233
2005_11,6.1199999,6.1799998,6.4200001,6.7399998,6.7399998,6.71,6.5900002,1.0915142,.67372072,.86360794,.67372072,.67673069,.56237549
2005_12,5.96,6.1799998,6.4400001,6.9499998,6.96,6.9699998,6.8299999,1.222957,.63822722,1.0423802,.63822722,.72971141,.7497412
2006_1,6.0300002,6.1399999,6.3000002,6.8499999,6.9200001,6.9499998,6.8800001,1.1981,.64491528,1.0092343,.64491528,.67587292,.75100434
2006_2,5.9099998,6.04,6.25,6.79,6.8099999,6.8000002,6.6599998,1.0751289,.59619409,.89384043,.59619409,.651025,.62201411
2006_3,6.27,6.5500002,6.8000002,7.27,7.1599998,7.1100001,6.9400001,1.4590442,.7887696,1.2260878,.7887696,.88269889,.8620351
2006_4,6.1500001,6.3000002,6.5799999,6.8800001,6.8400002,6.8400002,6.6999998,1.2031516,.70689708,.9747774,.70689708,.74421096,.65095258
2006_5,6.0999999,6.25,6.4299998,6.9200001,6.8400002,6.8099999,6.6900001,1.171574,.68475473,.951612,.68475473,.72057652,.63998693
2006_6,6.8200002,7.1999998,8.1300001,8.5500002,8.3900003,7.9400001,7.5100002,2.342356,1.0544349,2.1023457,1.0544349,1.4705288,1.5124644
2006_7,6.9000001,7.0999999,7.5999999,7.9099998,7.71,7.2399998,7.1199999,1.9067534,1.0500808,1.589213,1.0500808,1.2062154,1.0663863
2006_8,7.6500001,7.8499999,7.98,8.2799997,7.9899998,7.5999999,7.4299998,2.3360393,1.3822141,1.8875538,1.3822141,1.3751584,1.3139399
2006_9,8,8.1499996,8.3500004,8.5500002,8.0600004,7.5999999,7.48,2.5096478,1.526159,2.001179,1.526159,1.5187685,1.3436815
2006_10,8.1499996,8.1999998,8.3000002,8.04,7.5999999,7.2199998,7.0999999,2.2607019,1.5704846,1.6775224,1.5704846,1.3897878,1.0319088
2006_11,8.0200005,8.1000004,8,7.75,7.29,6.9000001,6.7600002,1.9979913,1.5195456,1.3982995,1.5195456,1.2568988,.77965921
2006_12,7.9299998,7.98,7.98,7.5900002,7.21,6.71,6.54,1.8645195,1.4730591,1.2690275,1.4730591,1.2154884,.646366
2007_1,8.0500002,8.1499996,8.1999998,7.96,7.5500002,7.0500002,6.6999998,2.1079454,1.5372508,1.5166641,1.5372508,1.3493482,.85625076
2007_2,8.0500002,8.1000004,8.1700001,7.8099999,7.46,7,6.5900002,2.0373833,1.5262005,1.4399643,1.5262005,1.3080592,.79102248
2007_3,7.8000002,7.5799999,7.5,7.3000002,7.0700002,6.6799998,6.4200001,1.6612645,1.3558167,1.1035014,1.3558167,1.0431306,.57291794
2007_4,7.6500001,7.48,7.3499999,7,6.8000002,6.5500002,6.4000001,1.5124934,1.3004405,.96277612,1.3004405,.94081819,.47553355
2007_5,7.5500002,7.5500002,7.3000002,6.98,6.8099999,6.54,6.3099999,1.4829102,1.2937278,.93183511,1.2937278,.92522657,.44798717
2007_6,7.3499999,7.4499998,7.1799998,6.8800001,6.75,6.6300001,6.4499998,1.4548461,1.2272598,.94147724,1.2272598,.87577343,.50124359
2007_7,7.3499999,7.3099999,7.1100001,6.9699998,6.79,6.6999998,6.4099998,1.4512969,1.1963184,.95691663,1.1963184,.88125098,.51625669
2007_8,7.4499998,7.4299998,7.2800002,7.1399999,6.9899998,6.75,6.5100002,1.5744002,1.245023,1.0716496,1.245023,.95786607,.6016531
2007_9,7.3499999,7.3000002,7.1999998,6.96,6.7399998,6.6199999,6.4400001,1.4444337,1.1941084,.94999188,1.1941084,.89867127,.49348244
2007_10,7.25,7.1900001,7.0700002,6.9299998,6.7399998,6.5599999,6.4299998,1.388267,1.1476138,.91309291,1.1476138,.86322391,.47455075
2007_11,7.3499999,7.3499999,7.27,7.3299999,7.1500001,6.8299999,6.6500001,1.6387854,1.2051588,1.1733981,1.2051588,.99964052,.69858944
2007_12,7.4499998,7.46,7.4699998,7.52,7.3800001,7.0799999,6.8299999,1.8208233,1.2516533,1.3597025,1.2516533,1.0874618,.86740792
2008_1,7.4299998,7.4400001,7.4200001,7.4699998,7.3299999,7.1999998,6.9099998,1.8330514,1.2427964,1.3803157,1.2427964,1.0649279,.91273838
2008_2,8,8.1499996,8.3000002,8.75,8.6599998,8.1800003,7.6999998,2.7550173,1.526159,2.2928634,1.526159,1.5540861,1.6900517
2008_3,8.7200003,8.6499996,9.1700001,9.96,9.6000004,8.5600004,8.1700001,3.4404213,1.7963849,2.9321971,1.7963849,2.024853,2.1299167
2008_4,8.3800001,8.5500002,8.9499998,9.0799999,8.8199997,8.1000004,7.8499999,3.0024605,1.6988602,2.4752061,1.6988602,1.772976,1.7475026
2008_5,8.6499996,8.6999998,8.8800001,9.1000004,8.8699999,8.1000004,7.8499999,3.0533993,1.7919068,2.4768088,1.7919068,1.7622553,1.7580333
2008_6,8.8500004,8.8800001,9.1800003,9.5500002,9.25,8.5,8.2399998,3.387068,1.8760558,2.8191309,1.8760558,1.9321693,2.0612669
2008_7,8.4700003,8.4499998,8.5799999,8.6899996,8.4099998,7.8099999,7.5700002,2.7477779,1.6967243,2.175112,1.6967243,1.6015974,1.5001553
2008_8,8.4799995,8.6000004,8.5699997,8.8000002,8.5200005,7.9299998,7.5999999,2.8211219,1.732094,2.2397037,1.732094,1.6248595,1.5641859
2008_9,8.8500004,8.9799995,9.1000004,9.6599998,9.2700005,8.1700001,7.9499998,3.2933276,1.8981566,2.6930056,1.8981566,1.9400822,1.8908632
2008_10,11.62,11.66,11.8,12.66,12.02,9.79,8.3900003,5.3795114,3.1049447,4.3942776,3.1049447,3.2263315,3.0322015
2008_11,10.75,10.75,10.66,11.05,10.94,8.8599997,8.1300001,4.4719896,2.7108297,3.5711224,2.7108297,2.6037991,2.4798009
2008_12,9.0299997,8.96,8.9499998,9.5699997,9.4300003,8.2799997,7.6999998,3.2766275,1.9336667,2.6506419,1.9336667,1.8863649,1.8787781
2009_1,9.3800001,9.2799997,9.4200001,10.52,10.49,9.6599998,9.3299999,4.2297149,2.082032,3.6894348,2.082032,2.2092581,2.9574108
2009_2,10.35,10.75,11.32,12.79,11.97,10.85,10.05,5.5764928,2.6220958,4.9396076,2.6220958,3.1511643,3.8010807
2009_3,9.9200001,10.15,11.05,12.98,12.98,12.25,11.65,6.1370401,2.3941009,5.7538586,2.3941009,3.1359282,4.8654938
2009_4,9.4200001,9.3500004,10.02,10.39,10.45,10.26,10.13,4.5488377,2.1063762,4.0536585,2.1063762,2.3107378,3.3482795
2009_5,9.25,9.25,9.3800001,10.03,10.05,9.9700003,9.8000002,4.227138,2.0465631,3.7110662,2.0465631,2.0870981,3.0880401
2009_6,9.25,9.25,9.2799997,9.75,9.7600002,9.7399998,9.6400003,4.0693588,2.0465631,3.5240335,2.0465631,2.0003774,2.9178946
2009_7,8.1800003,8.25,8.0500002,8.5100002,8.5299997,8.5299997,8.21,2.8689768,1.5881904,2.3911645,1.5881904,1.443731,1.9085913
2009_8,7.6500001,7.6500001,7.6700001,8.0600004,8.1499996,8.1400003,8.1400003,2.5004468,1.3380122,2.1136277,1.3380122,1.2562754,1.7040026
2009_9,6.7800002,6.8200002,6.75,7.1799998,7.4099998,7.6300001,7.6500001,1.7953601,.96157801,1.5177481,.96157801,.85090876,1.2657423
2009_10,6.3499999,6.3499999,6.4499998,7.1999998,7.23,7.3800001,7.3899999,1.5378197,.76231438,1.3384851,.76231438,.78975558,1.0834571
2009_11,6.02,6.1500001,6.0999999,6.9899998,7.1399999,7.46,7.46,1.4223397,.64490706,1.2772264,.64490706,.66441554,1.106742
2009_12,6.0700002,6.0799999,6.0500002,7.4099998,7.5900002,7.9899998,7.9000001,1.7055864,.64052814,1.6169158,.64052814,.7506426,1.4742364
2010_1,5.8000002,5.8499999,5.73,7.04,7.3299999,7.6599998,7.6399999,1.4192227,.52980053,1.3477994,.52980053,.59485567,1.2538593
2010_2,5.5700002,5.6500001,5.5700002,6.71,7.02,7.5100002,7.4899998,1.2101954,.43457663,1.1606171,.43457663,.48340842,1.1037439
2010_3,5.1199999,5.1300001,5.0999999,5.9499998,6.2199998,6.8600001,6.8600001,.59997678,.21982594,.57321459,.21982594,.20448242,.57367688
2010_4,4.8800001,4.8499999,4.8499999,5.5,6.04,6.6199999,6.6599998,.34773204,.1047029,.34746894,.1047029,.045532051,.41204494
2010_5,5,4.9499998,5.0500002,6.1900001,6.73,7.23,7.25,.7987473,.15342399,.85189319,.15342399,.24905646,.89632452
2010_6,5.3499999,5.3499999,5.48,7.1300001,7.4299998,7.6900001,7.6199999,1.3040043,.31947002,1.3448349,.31947002,.56086457,1.2768874
2010_7,5.5500002,5.52,5.6500001,7.0100002,7.1599998,7.2399998,7.1500001,1.1470146,.40140867,1.1050828,.40140867,.57037193,.95954734
2010_8,5.52,5.5799999,5.5999999,7.3600001,7.4499998,7.6199999,7.52,1.3656967,.40801415,1.3610543,.40801415,.64040041,1.2325157
2010_9,5.3499999,5.5,5.73,6.4400001,6.5300002,6.79,6.7600002,.81840158,.35262147,.74563873,.35262147,.4560121,.59038353
2010_10,5.3499999,5.4499998,5.77,6.5999999,6.8099999,7.0300002,7.02,.96775287,.34157094,.93020147,.34157094,.50180787,.79107481
2010_11,5.6900001,5.9000001,6.2600002,8.0799999,8.3400002,8.4399996,8.4300003,2.0322425,.51644921,2.0829625,.51644921,.9517315,1.9106694
2010_12,5.7600002,6.1500001,6.3299999,7.7199998,7.8499999,7.9499998,7.9400001,1.7860311,.58723003,1.7449521,.58723003,.88377422,1.5303735
2011_1,5.8000002,5.6999998,5.9299998,6.8699999,7.1100001,7.3200002,7.3299999,1.2547474,.49664906,1.1725355,.49664906,.59937078,1.0242534
2011_2,5.8800001,5.8899999,5.8699999,6.7399998,6.98,7.25,7.2600002,1.219641,.55638766,1.0931549,.55638766,.55613172,.95728856
2011_3,5.8499999,5.8699999,5.8499999,6.6399999,6.9400001,7.1900001,7.1900001,1.1694595,.5453124,1.0406113,.5453124,.5286057,.91193432
2011_4,5.8499999,5.8499999,5.8800001,6.46,6.7600002,7,7,1.0536348,.54089218,.90563953,.54089218,.49353084,.76657873
2011_5,5.9000001,5.9200001,5.9499998,6.5999999,6.98,7.1900001,7.21,1.1974893,.5674547,1.0596602,.5674547,.54127657,.92635822
2011_6,5.8499999,5.8299999,5.8200002,6.6700001,7.0799999,7.3099999,7.3000002,1.2263768,.53647202,1.1140606,.53647202,.52896988,1.0062805
2011_7,5.8000002,5.75,5.8499999,6.6300001,7.2199998,7.5,7.52,1.3041817,.50769961,1.2251648,.50769961,.52629173,1.1522105
2011_8,5.73,5.73,5.6999998,6.3099999,7.04,7.3499999,7.3499999,1.1521188,.48775092,1.0577043,.48775092,.4193511,1.0234755
2011_9,6,6.0500002,6.1500001,7.0900002,7.5700002,8.1400003,8.1400003,1.7347261,.6183694,1.6663289,.6183694,.69851977,1.5818462
2011_10,6.0999999,6.1999998,6.3499999,7.0799999,7.4000001,7.79,7.8099999,1.6389775,.67370421,1.5162292,.67370421,.74005979,1.3541161
2011_11,6.7800002,7.5799999,7.6700001,8.8299999,8.8699999,8.9200001,8.9099998,2.8687911,1.1295452,2.6837618,1.1295452,1.4344579,2.293735
2011_12,7.5500002,7.5999999,7.9499998,9.0600004,9.6400003,9.75,9.7600002,3.4382918,1.3047782,3.2497618,1.3047782,1.5490772,2.9312723
2012_1,7.48,7.4899998,7.8499999,8.6000004,8.8299999,8.8900003,8.8599997,2.9130416,1.2649386,2.6502936,1.2649386,1.4207033,2.262346
2012_2,7.0799999,7.3000002,7.52,8.2700005,8.4200001,8.5699997,8.5500002,2.590992,1.134213,2.3514469,1.134213,1.27198,1.9980339
2012_3,7.3499999,7.4000001,7.5999999,8.7200003,8.9300003,9.0600004,8.9700003,2.9370642,1.2162093,2.7104783,1.2162093,1.3936543,2.3615446
2012_4,7.1999998,7.1999998,7.3000002,7.8699999,7.9499998,7.98,7.9400001,2.2326632,1.1387321,1.9228512,1.1387321,1.1311779,1.5594009
2012_5,7.0999999,7.2800002,7.5500002,8.4899998,8.6499996,8.71,8.6499996,2.697578,1.1342294,2.4777949,1.1342294,1.3294673,2.1136463
2012_6,7.0799999,7.0500002,7.2800002,7.5500002,7.8000002,7.9000001,7.8899999,2.1139624,1.0789605,1.8202224,1.0789605,1.0527426,1.4915679
2012_7,6.8299999,6.8299999,6.98,7.1799998,7.29,7.3699999,7.3800001,1.7159824,.97487968,1.4138274,.97487968,.90134102,1.090439
2012_8,6.71,6.6599998,6.73,6.6900001,6.9400001,7.25,7.3200002,1.5098031,.91068792,1.2110184,.91068792,.73313445,.96686196
2012_9,6.3000002,6.4200001,6.48,6.5900002,6.7199998,7.2399998,7.3000002,1.3546536,.76669341,1.1189632,.76669341,.65517616,.91187197
2012_10,6.0500002,5.9699998,6.02,6.1700001,6.3499999,6.8800001,6.9499998,.98406696,.61178035,.77819341,.61178035,.45712098,.63336444
2012_11,5.8800001,5.8400002,5.8800001,5.96,6.3099999,6.8200002,6.8800001,.87642848,.54533726,.69298184,.54533726,.37782782,.58801031
2012_12,5.3299999,5.2800002,5.4000001,5.6100001,5.8899999,6.1100001,6.1100001,.3155987,.29956272,.18280503,.29956272,.19158575,.080049433
2013_1,5.3800001,5.2800002,5.27,5.54,5.8899999,6.3400002,6.3499999,.38329104,.31065449,.25722939,.31065449,.14688204,.21311393
2013_2,4.9299998,4.9299998,4.9099998,5.3000002,5.6599998,6.25,6.3299999,.16474397,.13347533,.1113577,.13347533,.012407126,.13477527
2013_3,4.71,4.6300001,4.5799999,5.1199999,5.6100001,6.27,6.4299998,.057578489,.018368911,.058444932,.018368911,-.10160539,.15955193
2013_4,4.21,4.0799999,4.0799999,4.6500001,4.9299998,5.3200002,5.5300002,-.61626226,-.2141038,-.59441006,-.2141038,-.3200016,-.5058921
2013_5,4.1300001,4.0799999,3.98,4.6399999,5.0999999,5.6399999,5.96,-.47709858,-.23185056,-.41666833,-.23185056,-.34424275,-.2561315
2013_6,4.1799998,4.1999998,4.3800001,5.1100001,5.4400001,6.1199999,6.52,-.11310403,-.19423777,-.0086809173,-.19423777,-.14777352,.11091465
2013_7,3.95,3.96,4.0900002,4.9200001,5.4499998,6.4099998,6.9099998,-.10017146,-.29830196,.074653648,-.29830196,-.25532922,.30701226
2013_8,3.8,3.8599999,3.95,5.1900001,5.79,6.5799999,7.0300002,-.01252032,-.3536782,.21399075,-.3536782,-.22354752,.45975798
2013_9,3.55,3.6199999,3.5999999,4.5500002,5.0799999,5.8299999,6.4200001,-.5376662,-.46217921,-.34035304,-.46217921,-.44839218,-.071907707
2013_10,3.3,3.23,3.3099999,4.21,4.6500001,5.4499998,6.0799999,-.88105857,-.60383159,-.65773618,-.60383159,-.59065878,-.36536318
2013_11,2.8499999,3,3.1400001,4.23,5.0700002,6.0700002,6.5799999,-.71719664,-.75448948,-.36605701,-.75448948,-.62330669,.037708726
2013_12,2.8599999,2.8499999,3.04,4.0100002,4.6599998,5.6100001,6.2600002,-.97123581,-.78542262,-.64823103,-.78542262,-.69614309,-.26677763
2014_1,3.23,3.2,3.3,4.98,5.3099999,6.1999998,6.6900001,-.4587976,-.62599033,-.14191201,-.62599033,-.41466886,.15577173
2014_2,2.8699999,2.8299999,3.1600001,4.9299998,5.0799999,6.0100002,6.4499998,-.67894864,-.78762442,-.30084646,-.78762442,-.4569371,-.015112874
2014_3,2.74,2.75,3.02,4.5300002,4.8400002,5.54,5.9899998,-.97339642,-.8341437,-.62122887,-.8341437,-.58019733,-.32844552
2014_4,2.3499999,2.45,2.5899999,4.0799999,4.3800001,5.3499999,5.7399998,-1.3070664,-.98696214,-.91918409,-.98696214,-.77861661,-.55077124
2014_5,2.3699999,2.3599999,2.3499999,3.3599999,3.6600001,4.71,5.1300001,-1.7620041,-1.0024164,-1.4492488,-1.0024164,-.99785393,-1.0553343
2014_6,2.23,2.22,2.23,3.0699999,3.3299999,4.3899999,4.8200002,-2.0064676,-1.0644145,-1.7001656,-1.0644145,-1.0912741,-1.3027974
2014_7,1.6799999,1.72,1.89,3.3399999,3.6800001,4.73,5.0300002,-1.9889437,-1.2969284,-1.530936,-1.2969284,-1.1033466,-1.075808
2014_8,1.52,1.52,1.76,3.2,3.52,4.4499998,4.7399998,-2.1907706,-1.376624,-1.7202079,-1.376624,-1.1642487,-1.2708461
2014_9,1.34,1.45,1.58,3.1600001,3.6300001,4.6300001,4.77,-2.1943393,-1.4320248,-1.6886996,-1.4320248,-1.2129736,-1.1908835
2014_10,1.71,1.73,1.7,2.8199999,3.29,3.9000001,4.1700001,-2.4347045,-1.2880633,-2.0668006,-1.2880633,-1.2653393,-1.6363114
2014_11,1.64,1.64,1.6799999,2.54,2.97,3.52,3.8299999,-2.6666753,-1.3234826,-2.3201165,-1.3234826,-1.3345183,-1.9065993
2014_12,1.4299999,1.54,1.8,2.72,3.1500001,3.5999999,3.8299999,-2.6277485,-1.3921689,-2.2309425,-1.3921689,-1.2665527,-1.8474461
2015_1,1.7,1.54,1.6,2.0899999,2.3800001,2.79,2.99,-3.1070354,-1.3322735,-2.838459,-1.3322735,-1.4561927,-2.4766729
2015_2,1.58,1.6,1.63,2.01,2.47,2.9100001,3.1199999,-3.0623446,-1.345633,-2.7766328,-1.345633,-1.468127,-2.386858
2015_3,1.5,1.64,1.63,2.1199999,2.5999999,3.28,3.4000001,-2.9174769,-1.3545395,-2.5983741,-1.3545395,-1.4426724,-2.1772404
2015_4,1.54,1.4400001,1.5,2.22,2.8800001,3.4400001,3.6800001,-2.8185918,-1.389868,-2.4578202,-1.389868,-1.448037,-1.9917922
2015_5,1.3099999,1.29,1.39,2.23,2.8,3.4000001,3.5,-2.9279337,-1.4740415,-2.5343487,-1.4740415,-1.4698427,-2.0732567
2015_6,1.01,1.02,.99000001,2.1099999,2.98,3.8800001,4.1599998,-2.8225636,-1.6002644,-2.326447,-1.6002644,-1.5853198,-1.7099124
2015_7,.88,.88,.87,2.22,2.8399999,3.74,3.98,-2.9331939,-1.6600443,-2.4200978,-1.6600443,-1.5861776,-1.830567
2015_8,.72000003,.68000001,.69999999,2.0599999,2.6600001,3.6400001,3.8900001,-3.0755124,-1.7397398,-2.5380304,-1.7397398,-1.6604786,-1.9220278
2015_9,.38999999,.38,.43000001,1.55,2.3299999,3.28,3.76,-3.3788438,-1.8792481,-2.8086972,-1.8792481,-1.8376988,-2.1261182
2015_10,.74000001,.66000003,.74000001,1.83,2.4400001,3.3499999,3.8,-3.1976645,-1.7397233,-2.6831329,-1.7397233,-1.7049311,-2.0723646
2015_11,.79000002,.80000001,.94999999,1.91,2.47,3.29,3.8699999,-3.1331749,-1.6976902,-2.6337883,-1.6976902,-1.6403718,-2.0609803
2015_12,.80000001,.87,.93000001,2.1099999,2.55,3.3299999,3.8800001,-3.0810461,-1.6800013,-2.5833285,-1.6800013,-1.5984761,-2.0305102
2016_1,.93000001,.94999999,.95999998,1.9299999,2.4400001,3.48,3.71,-3.0973709,-1.633482,-2.6322138,-1.633482,-1.633551,-2.0648425
2016_2,.94,.99000001,1,1.87,2.3199999,3.27,3.5599999,-3.1761053,-1.6224232,-2.7331235,-1.6224232,-1.6386645,-2.1908731
2016_3,1,.99000001,.99000001,1.51,2.05,2.9400001,3.23,-3.3733442,-1.6091131,-2.9760017,-1.6091131,-1.7241634,-2.4343538
2016_4,.89999998,.89999998,.88,1.63,2.25,3.3199999,3.55,-3.2387042,-1.6511874,-2.788528,-1.6511874,-1.7205144,-2.1953392
2016_5,.88,.93000001,1,1.84,2.48,3.4100001,3.6099999,-3.1379197,-1.6489938,-2.6707964,-1.6489938,-1.6456066,-2.1050019
2016_6,.85000002,.92000002,.92000002,1.8099999,2.26,3.1199999,3.3900001,-3.2789083,-1.657859,-2.8328545,-1.657859,-1.6700906,-2.2943342
2016_7,.5,.50999999,.61000001,1.38,1.95,2.8099999,3.0999999,-3.6116502,-1.8261151,-3.1204958,-1.8261151,-1.8375691,-2.5289302
2016_8,.47,.50999999,.61000001,1.35,1.9400001,2.8499999,3.2,-3.5942223,-1.8327701,-3.0953081,-1.8327701,-1.8445113,-2.4904184
2016_9,.54000002,.60000002,.60000002,1.24,1.8,2.8699999,3.1600001,-3.6140449,-1.7973509,-3.1411183,-1.7973509,-1.8721586,-2.5265925
2016_10,.40000001,.31,.47,1.17,1.8,2.98,3.3099999,-3.6411276,-1.8925005,-3.1120987,-1.8925005,-1.9168622,-2.4523888
2016_11,.25,.30000001,.44999999,1.11,2.04,3.3800001,3.72,-3.4885292,-1.9279858,-2.9073312,-1.9279858,-1.935132,-2.1726418
2016_12,.059999999,.079999998,.15000001,.81999999,1.67,3.1600001,3.6600001,-3.7098181,-2.0187566,-3.1114135,-2.0187566,-2.0680211,-2.3269844
2017_1,.059999999,.090000004,.23,1.39,2.1099999,3.47,3.9300001,-3.4610131,-2.0165465,-2.8178394,-2.0165465,-1.9185779,-2.0710077
2017_2,.090000004,.1,.20999999,1.51,2.1700001,3.4100001,3.9100001,-3.4494343,-2.0076814,-2.8099391,-2.0076814,-1.8951946,-2.0803022
2017_3,.07,.07,.090000004,1.14,2.1500001,3.29,3.77,-3.5661781,-2.0187483,-2.9411263,-2.0187483,-2.0071273,-2.1583738
2017_4,.079999998,.079999998,.12,.98000002,2.05,3.24,3.73,-3.6105924,-2.0143199,-2.9965944,-2.0143199,-2.0375743,-2.2047105
2017_5,.07,.090000004,.12,.80000001,1.8200001,3.04,3.6500001,-3.7151487,-2.014328,-3.1206653,-2.014328,-2.0792272,-2.3302557
2017_6,.050000001,.090000004,.1,.74000001,1.76,3.0899999,3.6199999,-3.7329032,-2.0187647,-3.1387911,-2.0187647,-2.097497,-2.3386152
2017_7,.07,.11,.1,.83999997,1.83,3.0999999,3.6700001,-3.6945391,-2.009908,-3.098922,-2.009908,-2.0743566,-2.3062184
2017_8,.050000001,.11,.07,.68000001,1.64,2.95,3.5799999,-3.7901952,-2.0143447,-3.2095761,-2.0143447,-2.1179595,-2.4130621
2017_9,-.039999999,-.029999999,-.039999999,.50999999,1.21,2.5799999,3.21,-4.0466914,-2.0652511,-3.4820747,-2.0652511,-2.1814184,-2.7128611
2017_10,-.039999999,-.0099999998,0,.50999999,1.22,2.48,3.21,-4.0554762,-2.0608308,-3.4954951,-2.0608308,-2.1726475,-2.7373083
2017_11,-.0099999998,0,-.0099999998,.56999999,1.09,2.1300001,2.8199999,-4.1979628,-2.0519657,-3.6713133,-2.0519657,-2.1609559,-2.9746115
2017_12,-.0099999998,.0099999998,.02,.50999999,1.09,2.02,2.72,-4.2389636,-2.0497556,-3.7216849,-2.0497556,-2.1682622,-3.0338168
2018_01,-.029999999,.0099999998,0,.56,1.24,2.3099999,2.73,-4.164505,-2.0541923,-3.630343,-2.0541923,-2.1610773,-2.9222207
2018_02,-.02,-.02,-.02,.87,1.4400001,2.5799999,2.98,-4.0078306,-2.0586042,-3.4412777,-2.0586042,-2.0937269,-2.7334123
2018_03,0,-.0099999998,.029999999,.81,1.24,2.3900001,2.8499999,-4.0916348,-2.0519576,-3.5453167,-2.0519576,-2.0966475,-2.8649821
2018_04,.0099999998,.029999999,.039999999,.73000002,1.27,2.52,3.5599999,-3.9314122,-2.0408988,-3.3604994,-2.0408988,-2.1129675,-2.6111677
2018_05,.15000001,.13,.23999999,1.16,1.65,3.1500001,3.9200001,-3.5946565,-1.987741,-2.9944625,-1.987741,-1.9696087,-2.2558606
2018_06,.13,.37,.62,1.85,2.28,3.5899999,4.1500001,-3.229419,-1.9391353,-2.5931294,-1.9391353,-1.7266155,-1.9373467
2018_07,.11,.31999999,.47,1.54,2.6500001,3.23,3.73,-3.3852918,-1.9546225,-2.7689893,-1.9546225,-1.8312421,-2.080997
2018_08,.13,.33000001,.52999997,1.65,2.8399999,3.46,3.8800001,-3.2658377,-1.9479758,-2.6313121,-1.9479758,-1.7926311,-1.9349128
2018_09,.12,.13,.40000001,1.75,2.97,3.54,3.95,-3.248018,-1.994396,-2.5803673,-1.994396,-1.7979957,-1.8652925
2018_10,-.0099999998,.0099999998,.28,1.6,3.0599999,3.6600001,4.1900001,-3.2310462,-2.0497556,-2.5240979,-2.0497556,-1.8590192,-1.7424812
2018_11,0,.0099999998,.27000001,1.26,2.6099999,3.1400001,3.8099999,-3.4992559,-2.0475373,-2.8443625,-2.0475373,-1.9398899,-2.0893223
2018_12,0,.12,.38999999,1.21,2.46,3.01,3.78,-3.5275497,-2.0232263,-2.8936887,-2.0232263,-1.9251477,-2.1644325
